year,pdf_url,source_url,domain,score,status,file_path
2015,https://www.selfstudys.com/sitepdfs/8QDpFVXCBWqiyhmXlAvd,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2015/aipmt-biology-paper/81441,www.selfstudys.com,111,ok,data\neet_papers\papers\neet_2015_05_selfstudys.com.pdf
2015,https://www.selfstudys.com/sitepdfs/V5VI3uaC00Ly72Seu9Va,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2015/aipmt-chemistry-paper/81440,www.selfstudys.com,111,ok,data\neet_papers\papers\neet_2015_06_selfstudys.com.pdf
2015,https://www.selfstudys.com/sitepdfs/f7UHYenWBkyNLHqRTHx7,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2015/aipmt-physics-paper/81439,www.selfstudys.com,111,ok,data\neet_papers\papers\neet_2015_07_selfstudys.com.pdf
2016,https://www.selfstudys.com/sitepdfs/RdspIx7wYhIgjA2phBMg,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2016/neet-code-a-p-w-phase-i/81426,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2016_01_selfstudys.com.pdf
2016,https://www.selfstudys.com/sitepdfs/ZTVaejfT44zADmcZJS60,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2016/neet-code-aa-phase-ii/81412,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2016_02_selfstudys.com.pdf
2016,https://www.selfstudys.com/sitepdfs/HXfK6vdswDBOeNV83dMS,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2016/neet-code-b-q-x-phase-i/81425,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2016_03_selfstudys.com.pdf
2016,https://www.selfstudys.com/sitepdfs/oBx8X4105Q7NiZCzO4vf,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2016/neet-code-c-r-y-phase-i/81424,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2016_04_selfstudys.com.pdf
2016,https://www.selfstudys.com/sitepdfs/iUlCYjvLdjC7yTjEeroW,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2016/neet-code-d-s-z-phase-i/81414,www.selfstudys.com,119,ok,data\neet_papers\papers\neet_2016_05_selfstudys.com.pdf
2016,https://www.selfstudys.com/sitepdfs/XLrku143UX3UjeJasmFt,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2016/neet-code-xx-phase-ii/81411,www.selfstudys.com,119,ok,data\neet_papers\papers\neet_2016_06_selfstudys.com.pdf
2016,https://www.selfstudys.com/sitepdfs/gPg3cN9u0UTjlpw1aMCY,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2016/neet-code-zz-phase-ii/81410,www.selfstudys.com,119,ok,data\neet_papers\papers\neet_2016_07_selfstudys.com.pdf
2016,https://www.selfstudys.com/sitepdfs/w4WYmDhLyx8UsqPvFaKW,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2016/aipmt-biology-paper/81429,www.selfstudys.com,111,ok,data\neet_papers\papers\neet_2016_08_selfstudys.com.pdf
2016,https://www.selfstudys.com/sitepdfs/tuX6zR04XlJicKWuQNmh,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2016/aipmt-chemistry-paper/81428,www.selfstudys.com,111,ok,data\neet_papers\papers\neet_2016_09_selfstudys.com.pdf
2016,https://www.selfstudys.com/sitepdfs/ZEEio1evboQ1c4skn8yE,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2016/aipmt-physics-paper/81427,www.selfstudys.com,111,ok,data\neet_papers\papers\neet_2016_10_selfstudys.com.pdf
2017,https://www.selfstudys.com/sitepdfs/h7bZ3qXK58pwrX8clHa1,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2017/neet-code-a-paper/81406,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2017_01_selfstudys.com.pdf
2017,https://www.selfstudys.com/sitepdfs/3YJnubk7HNTTWh4ICWlG,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2017/neet-code-b-paper/81405,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2017_02_selfstudys.com.pdf
